         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,  isCharge,    cState,    cSoure,
  0.100000,  0.000000,  0.000000,  0.000000, -0.221000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.200000,  1.571740,  8.749380, -0.585406, -0.234000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.300000,  1.570010,  8.750230, -0.614340, -0.247000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.400000,  1.570010,  8.750230, -0.614340, -0.247000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.500000,  1.569140,  8.749590, -0.619277, -0.247000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.600000,  1.569140,  8.749590, -0.619277, -0.247000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.700000,  1.571740,  8.749380, -0.585406, -0.254000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.800000,  1.570870,  8.750160, -0.602989, -0.254000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.900000,  1.570870,  8.750160, -0.602989, -0.260000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.000000,  1.571730,  8.750810, -0.597690, -0.260000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.100000,  1.571730,  8.750810, -0.597690, -0.260000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.200000,  1.570020,  8.748810, -0.614276, -0.254000,  2.292000,  2.702000, 15.084000, 15.084000, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.300000,  1.570020,  8.748810, -0.614276, -0.254000,  2.292000,  2.702000, 15.057000, 15.083460, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.400000,  1.572610,  8.749320, -0.585922, -0.254000,  2.292000,  2.702000, 15.057000, 15.082931, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.500000,  1.572610,  8.749320, -0.585922, -0.254000,  2.292000,  2.702000, 15.057000, 15.082412, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.600000,  1.571750,  8.748680, -0.591434, -0.254000,  2.292000,  2.702000, 15.057000, 15.081903, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.700000,  1.570010,  8.750230, -0.614340, -0.254000,  2.292000,  2.702000, 15.057000, 15.081406, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.800000,  1.570010,  8.750230, -0.614340, -0.260000,  2.292000,  2.702000, 15.057000, 15.080917, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.900000,  1.570880,  8.749450, -0.596841, -0.260000,  2.292000,  2.702000, 15.057000, 15.080439, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.000000,  1.570880,  8.749450, -0.596841, -0.260000,  2.292000,  2.702000, 15.057000, 15.079969, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.100000,  1.571730,  8.750810, -0.597690, -0.260000,  2.292000,  2.702000, 15.057000, 15.079510, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.200000,  1.570870,  8.750170, -0.615563, -0.254000,  2.292000,  2.702000, 15.057000, 15.079060, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.300000,  1.570870,  8.750170, -0.615563, -0.254000,  2.292000,  2.702000, 15.057000, 15.078618, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.400000,  1.570010,  8.749520, -0.608128, -0.254000,  2.292000,  2.702000, 15.057000, 15.078186, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.500000,  1.570010,  8.749520, -0.608128, -0.254000,  2.292000,  2.702000, 15.057000, 15.077763, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.600000,  1.570880,  8.749450, -0.596841, -0.254000,  2.292000,  2.702000, 15.057000, 15.077348, 16.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.700000,  1.570880,  8.749450, -0.596841, -0.254000,  2.292000,  2.702000, 15.057000, 15.076941, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.800000,  1.570880,  8.748750, -0.602930, -0.260000,  2.292000,  2.702000, 15.057000, 15.076542, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.900000,  1.570880,  8.748750, -0.602930, -0.260000,  2.292000,  2.702000, 15.057000, 15.076151, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.000000,  1.570880,  8.749460, -0.609188, -0.260000,  2.292000,  2.702000, 15.057000, 15.075768, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.100000,  1.570010,  8.749520, -0.608128, -0.260000,  2.292000,  2.702000, 15.057000, 15.075392, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.200000,  1.570010,  8.749520, -0.608128, -0.254000,  2.292000,  2.702000, 15.057000, 15.075024, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.300000,  1.570020,  8.748810, -0.614276, -0.254000,  2.292000,  2.702000, 15.057000, 15.074663, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.400000,  1.570020,  8.748810, -0.614276, -0.254000,  2.292000,  2.702000, 15.057000, 15.074310, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.500000,  1.571740,  8.750100, -0.591493, -0.254000,  2.292000,  2.702000, 15.057000, 15.073964, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.600000,  1.571740,  8.750100, -0.591493, -0.254000,  2.292000,  2.702000, 15.057000, 15.073625, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.700000,  1.571740,  8.750100, -0.591493, -0.254000,  2.292000,  2.702000, 15.057000, 15.073292, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.800000,  1.570880,  8.748740, -0.590796, -0.260000,  2.292000,  2.702000, 15.057000, 15.072966, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.900000,  1.570880,  8.748740, -0.590796, -0.260000,  2.292000,  2.702000, 15.057000, 15.072646, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.000000,  1.571740,  8.750100, -0.591493, -0.260000,  2.292000,  2.702000, 15.057000, 15.072333, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.100000,  1.571740,  8.750100, -0.591493, -0.260000,  2.292000,  2.702000, 15.057000, 15.072026, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.200000,  1.570010,  8.749520, -0.608128, -0.254000,  2.292000,  2.702000, 15.057000, 15.071726, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.300000,  1.570010,  8.749520, -0.608128, -0.254000,  2.292000,  2.702000, 15.057000, 15.071431, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.400000,  1.571730,  8.750810, -0.597690, -0.254000,  2.292000,  2.702000, 15.057000, 15.071142, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.500000,  1.571730,  8.750810, -0.597690, -0.254000,  2.292000,  2.702000, 15.057000, 15.070859, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  4.600000,  1.571740,  8.749380, -0.585406, -0.254000,  2.292000,  2.702000, 15.057000, 15.070581, 17.000000,  0.000000,  0.848261,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
