         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,
  0.100000,  0.000000,  0.000000,  0.000000, -0.195000,  0.000000,  2.702000, 11.411000, 11.411000, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.200000,  1.676740,  6.956870,  2.765720, -0.241000,  0.000000,  2.702000, 11.411000, 11.411000, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.300000,  1.676740,  6.956870,  2.765720, -0.280000,  0.000000,  2.702000, 11.411000, 11.411000, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.400000,  1.676740,  6.956870,  2.765720, -0.286000,  0.000000,  2.702000, 11.411000, 11.411000, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.500000,  1.676750,  6.955470,  2.757480, -0.293000,  0.000000,  2.702000, 11.383000, 11.410440, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.600000,  1.677580,  6.956980,  2.754510, -0.293000,  0.000000,  2.702000, 11.383000, 11.409892, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.700000,  1.677580,  6.956980,  2.754510, -0.299000,  0.000000,  2.702000, 11.383000, 11.409354, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.800000,  1.676740,  6.956870,  2.765720, -0.306000,  0.000000,  2.702000, 11.383000, 11.408827, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  0.900000,  1.676740,  6.956870,  2.765720, -0.306000,  0.000000,  2.702000, 11.355000, 11.407750, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  1.000000,  1.675920,  6.955350,  2.769000, -0.299000,  0.000000,  2.702000, 11.355000, 11.406695, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  1.100000,  1.675920,  6.955350,  2.769000, -0.299000,  0.000000,  2.702000, 11.355000, 11.405662, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
  1.200000,  1.676740,  6.956870,  2.765720, -0.299000,  0.000000,  2.702000, 11.355000, 11.404649, 33.000000,  0.000000,  0.000000,0.000000e+00,0.000000e+00,0.000000e+00,
