         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,  isCharge,    cState,    cSoure,
  0.100000,  0.000000,  0.000000,  0.000000, -0.202000,  2.392000,  2.702000, 15.502000, 15.502000, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.200000,  1.453710,  7.933360, -2.089060, -0.221000,  2.392000,  2.702000, 15.502000, 15.502000, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.300000,  1.453710,  7.933360, -2.089060, -0.241000,  2.392000,  2.702000, 15.502000, 15.502000, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.400000,  1.453710,  7.934090, -2.098470, -0.247000,  2.392000,  2.702000, 15.502000, 15.502000, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.500000,  1.453710,  7.934090, -2.098470, -0.247000,  2.392000,  2.702000, 15.502000, 15.502000, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.600000,  1.454610,  7.934100, -2.105460, -0.254000,  2.392000,  2.702000, 15.474000, 15.501440, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.700000,  1.453730,  7.931910, -2.069940, -0.254000,  2.392000,  2.702000, 15.474000, 15.500892, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.800000,  1.453730,  7.931910, -2.069940, -0.260000,  2.392000,  2.702000, 15.474000, 15.500354, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.900000,  1.455520,  7.932660, -2.093410, -0.267000,  2.392000,  2.702000, 15.474000, 15.499826, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.000000,  1.455520,  7.932660, -2.093410, -0.273000,  2.392000,  2.702000, 15.474000, 15.499310, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.100000,  1.453720,  7.932630, -2.079550, -0.273000,  2.392000,  2.702000, 15.474000, 15.498803, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.200000,  1.453720,  7.932630, -2.079550, -0.273000,  2.392000,  2.702000, 15.474000, 15.498307, 16.000000,  0.000000,  0.885270,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
