         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,
  0.100000,  0.000000,  0.000000,  0.000000, -0.195000,  2.701000,  2.702000, 15.585000, 15.612440, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.200000,  1.837710,  7.450880, -1.628980, -0.221000,  2.701000,  2.702000, 15.585000, 15.611892, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.300000,  1.837710,  7.450880, -1.628980, -0.241000,  2.701000,  2.702000, 15.585000, 15.611354, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.400000,  1.837710,  7.450180, -1.618220, -0.247000,  2.701000,  2.702000, 15.585000, 15.610826, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.500000,  1.837710,  7.450180, -1.618220, -0.247000,  2.701000,  2.702000, 15.585000, 15.610310, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.600000,  1.837710,  7.450180, -1.618220, -0.247000,  2.701000,  2.702000, 15.585000, 15.609803, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.700000,  1.837710,  7.450180, -1.618220, -0.254000,  2.701000,  2.702000, 15.585000, 15.609307, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.800000,  1.836920,  7.450120, -1.619820, -0.254000,  2.701000,  2.702000, 15.558000, 15.608281, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.900000,  1.836920,  7.450120, -1.619820, -0.254000,  2.701000,  2.702000, 15.558000, 15.607276, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.000000,  1.836920,  7.450120, -1.619820, -0.267000,  2.701000,  2.702000, 15.558000, 15.606291, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.100000,  1.837720,  7.449490, -1.607440, -0.260000,  2.701000,  2.702000, 15.558000, 15.605325, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.200000,  1.837710,  7.450180, -1.618220, -0.260000,  2.701000,  2.702000, 15.558000, 15.604379, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.300000,  1.837710,  7.450180, -1.618220, -0.254000,  2.701000,  2.702000, 15.558000, 15.603451, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.400000,  1.836900,  7.449420, -1.605980, -0.254000,  2.701000,  2.702000, 15.558000, 15.602542, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
