	 t,	    x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,
  1.000000,  1.819050,  7.467330, -1.611160, -0.260000,  2.697000,  2.702000, 15.112000, 15.138892, 15.000000,  0.000000,  0.998150,  1.819050,
  2.000000,  1.819050,  7.467330, -1.611160, -0.260000,  2.697000,  2.702000, 15.112000, 15.133971, 15.000000,  0.000000,  0.998150,  1.819050,
  3.000000,  1.819050,  7.467330, -1.611160, -0.260000,  2.697000,  2.702000, 15.112000, 15.129951, 15.000000,  0.000000,  0.998150,  1.819050,
  4.000000,  1.819060,  7.465940, -1.610970, -0.260000,  2.697000,  2.702000, 15.084000, 15.121545, 15.000000,  0.000000,  0.998150,  1.819060,
  5.000000,  1.819050,  7.467330, -1.611160, -0.260000,  2.697000,  2.702000, 15.084000, 15.114677, 15.000000,  0.000000,  0.998150,  1.819050,
  6.000000,  1.819060,  7.466640, -1.855677, -0.469000,  2.697000,  2.702000, 15.057000, 15.106472, 16.000000,  0.000000,  0.998150,  1.819060,
  7.000000,  1.819060,  7.466640, -2.259905, -0.462000,  2.697000,  2.702000, 15.001000, 15.091192, 16.000000,  0.000000,  0.998150,  1.819060,
  8.000000,  1.819060,  7.466640, -2.659905, -0.456000,  2.252000,  2.702000, 15.001000, 15.074693, 16.000000,  0.000000,  0.833457,  1.819060,
  9.000000,  1.819060,  7.466640, -3.059905, -0.462000,  2.252000,  2.702000, 15.001000, 15.061212, 16.000000,  0.000000,  0.833457,  1.819060,
 10.000000,  1.819060,  7.466640,  2.819538, -0.462000,  2.251000,  2.702000, 14.973000, 15.048034, 16.000000,  0.000000,  0.833087,  1.819060,
 11.000000,  1.815003,  7.453960,  2.599402, -0.684000,  2.251000,  2.702000, 14.917000, 15.028969, 16.000000,  0.000000,  0.833087,  1.815003,
 12.000000,  1.639400,  7.542680,  2.519402, -0.671000,  2.251000,  2.702000, 14.890000, 15.004459, 16.000000,  0.000000,  0.833087,  1.639400,
 13.000000,  1.391901,  7.715455,  2.479402, -0.697000,  2.251000,  2.702000, 14.862000, 14.980832, 16.000000,  0.000000,  0.833087,  1.391901,
 14.000000,  1.367570,  7.741520,  2.179403, -0.462000,  2.251000,  2.702000, 14.945000, 14.967392, 16.000000,  0.000000,  0.833087,  1.367570,
 15.000000,  1.128251,  7.922304,  1.879383, -0.534000,  2.250000,  2.702000, 14.945000, 14.962770, 16.000000,  0.000000,  0.832717,  1.128251,
 16.000000,  1.096510,  7.970600,  1.679383, -0.677000,  2.250000,  2.702000, 14.890000, 14.951802, 16.000000,  0.000000,  0.832717,  1.096510,
 17.000000,  1.045000,  8.272560,  1.679383, -0.677000,  2.250000,  2.702000, 14.862000, 14.937807, 16.000000,  0.000000,  0.832717,  1.045000,
 18.000000,  1.030520,  8.553520,  1.653463, -0.540000,  2.250000,  2.702000, 14.862000, 14.923941, 16.000000,  0.000000,  0.832717,  1.030520,
 19.000000,  1.030520,  8.553520,  1.249367, -0.456000,  2.250000,  2.702000, 14.917000, 14.920814, 16.000000,  0.000000,  0.832717,  1.030520,
 20.000000,  1.030520,  8.553520,  0.849172, -0.462000,  2.250000,  2.702000, 14.945000, 14.925238, 16.000000,  0.000000,  0.832717,  1.030520,
 21.000000,  1.020701,  8.839075,  0.509172, -0.482000,  2.249000,  2.702000, 14.945000, 14.928853, 16.000000,  0.000000,  0.832346,  1.020701,
 22.000000,  1.024030,  8.856570,  0.225252, -0.684000,  2.249000,  2.702000, 14.890000, 14.929093, 16.000000,  0.000000,  0.832346,  1.024030,
 23.000000,  1.195187,  8.903773,  0.127453, -0.658000,  2.249000,  2.702000, 14.862000, 14.918747, 16.000000,  0.000000,  0.832346,  1.195187,
 24.000000,  1.512630,  8.948150,  0.127453, -0.658000,  2.249000,  2.702000, 14.862000, 14.908367, 16.000000,  0.000000,  0.832346,  1.512630,
 25.000000,  1.812329,  8.973955,  0.137453, -0.514000,  2.249000,  2.702000, 14.890000, 14.903082, 16.000000,  0.000000,  0.832346,  1.812329,
 26.000000,  1.816000,  8.974540,  0.147453, -0.267000,  2.249000,  2.702000, 14.973000, 14.911044, 16.000000,  0.000000,  0.832346,  1.816000,
 27.000000,  1.816000,  8.974540,  0.147453, -0.267000,  2.249000,  2.702000, 15.029000, 14.929147, 16.000000,  0.000000,  0.832346,  1.816000,
 28.000000,  1.816000,  8.974540, -0.132547, -0.456000,  2.249000,  2.702000, 14.973000, 14.943655, 16.000000,  0.000000,  0.832346,  1.816000,
 29.000000,  1.816000,  8.974540, -0.538568, -0.449000,  2.248000,  2.702000, 14.973000, 14.949022, 16.000000,  0.000000,  0.831976,  1.816000,
 30.000000,  1.816000,  8.974540, -0.938568, -0.449000,  2.248000,  2.702000, 14.945000, 14.949717, 16.000000,  0.000000,  0.831976,  1.816000,
 31.000000,  1.963870,  9.005230, -1.342507, -0.449000,  2.248000,  2.702000, 14.945000, 14.948854, 16.000000,  0.000000,  0.831976,  1.963870,
 32.000000,  1.977330,  9.015050, -1.542507, -0.684000,  2.248000,  2.702000, 14.890000, 14.941377, 16.000000,  0.000000,  0.831976,  1.977330,
 33.000000,  1.998012,  8.675091, -1.580391, -0.684000,  2.248000,  2.702000, 14.834000, 14.925748, 16.000000,  0.000000,  0.831976,  1.998012,
 34.000000,  1.982320,  8.391690, -1.560391, -0.586000,  2.247000,  2.702000, 14.862000, 14.910073, 16.000000,  0.000000,  0.831606,  1.982320,
 35.000000,  1.982000,  8.142480, -1.527693, -0.684000,  2.247000,  2.702000, 14.834000, 14.896158, 16.000000,  0.000000,  0.831606,  1.982000,
 36.000000,  1.986593,  7.837390, -1.567693, -0.684000,  2.247000,  2.702000, 14.834000, 14.884788, 16.000000,  0.000000,  0.831606,  1.986593,
 37.000000,  1.991490,  7.531510, -1.568899, -0.664000,  2.247000,  2.702000, 14.834000, 14.875497, 16.000000,  0.000000,  0.831606,  1.991490,
 38.000000,  1.995139,  7.439540, -1.852797, -0.462000,  2.247000,  2.702000, 14.890000, 14.873245, 16.000000,  0.000000,  0.831606,  1.995139,
 39.000000,  1.995139,  7.439540, -2.252797, -0.456000,  2.247000,  2.702000, 14.917000, 14.879392, 16.000000,  0.000000,  0.831606,  1.995139,
 40.000000,  2.001742,  7.161775, -2.600548, -0.664000,  2.247000,  2.702000, 14.917000, 14.886271, 16.000000,  0.000000,  0.831606,  2.001742,
 41.000000,  2.001130,  7.149590, -2.880548, -0.697000,  2.246000,  2.702000, 14.890000, 14.889797, 16.000000,  0.000000,  0.831236,  2.001130,
 42.000000,  1.860768,  7.099403, -3.000548, -0.684000,  2.246000,  2.702000, 14.834000, 14.882537, 16.000000,  0.000000,  0.831236,  1.860768,
 43.000000,  1.558560,  7.041980, -3.080708, -0.684000,  2.246000,  2.702000, 14.834000, 14.873656, 16.000000,  0.000000,  0.831236,  1.558560,
 44.000000,  1.251500,  7.008850, -3.081693, -0.514000,  2.246000,  2.702000, 14.862000, 14.869597, 16.000000,  0.000000,  0.831236,  1.251500,
 45.000000,  1.179070,  6.999510, -3.121693, -0.293000,  2.246000,  2.702000, 14.945000, 14.874060, 16.000000,  0.000000,  0.831236,  1.179070,
 46.000000,  1.179070,  6.999510, -3.121693, -0.293000,  2.246000,  2.702000, 14.973000, 14.890730, 16.000000,  0.000000,  0.831236,  1.179070,
 47.000000,  1.179070,  6.999510,  2.961492, -0.488000,  2.245000,  2.702000, 14.945000, 14.907184, 16.000000,  0.000000,  0.830866,  1.179070,
 48.000000,  1.179070,  6.999510,  2.553481, -0.475000,  2.245000,  2.702000, 14.917000, 14.912455, 16.000000,  0.000000,  0.830866,  1.179070,
 49.000000,  1.179070,  6.999510,  2.153437, -0.482000,  2.245000,  2.702000, 14.917000, 14.913285, 16.000000,  0.000000,  0.830866,  1.179070,
 50.000000,  1.033227,  6.979686,  1.785674, -0.488000,  2.245000,  2.702000, 14.917000, 14.913964, 16.000000,  0.000000,  0.830866,  1.033227,
 51.000000,  1.023707,  6.994898,  1.581547, -0.690000,  2.245000,  2.702000, 14.834000, 14.904165, 16.000000,  0.000000,  0.830866,  1.023707,
 52.000000,  0.982657,  7.242800,  1.541547, -0.690000,  2.245000,  2.702000, 14.806000, 14.889156, 16.000000,  0.000000,  0.830866,  0.982657,
 53.000000,  0.977763,  7.550580,  1.561547, -0.566000,  2.245000,  2.702000, 14.806000, 14.873944, 16.000000,  0.000000,  0.830866,  0.977763,
 54.000000,  0.983337,  7.837319,  1.560892, -0.684000,  2.244000,  2.702000, 14.806000, 14.861517, 16.000000,  0.000000,  0.830496,  0.983337,
 55.000000,  0.982187,  7.943650,  1.523522, -0.716000,  2.244000,  2.702000, 14.778000, 14.850801, 16.000000,  0.000000,  0.830496,  0.982187,
 56.000000,  0.982072,  8.428960,  1.531504, -0.684000,  2.244000,  2.702000, 14.806000, 14.842607, 16.000000,  0.000000,  0.830496,  0.982072,
 57.000000,  0.976069,  8.553864,  1.391504, -0.488000,  2.244000,  2.702000, 14.834000, 14.836594, 16.000000,  0.000000,  0.830496,  0.976069,
 58.000000,  0.976069,  8.553864,  0.991504, -0.482000,  2.244000,  2.702000, 14.862000, 14.840298, 16.000000,  0.000000,  0.830496,  0.976069,
 59.000000,  0.980174,  8.556719,  0.607564, -0.482000,  2.243000,  2.702000, 14.890000, 14.848446, 16.000000,  0.000000,  0.830126,  0.980174,
 60.000000,  0.986226,  8.892030,  0.287564, -0.579000,  2.243000,  2.702000, 14.862000, 14.852478, 16.000000,  0.000000,  0.830126,  0.986226,
 61.000000,  0.982500,  8.888570,  0.639294, -0.508000,  2.243000,  2.702000, 14.834000, 14.849514, 16.000000,  0.000000,  0.830126,  0.982500,
 62.000000,  1.184980,  8.944740,  0.279020, -0.573000,  2.243000,  2.702000, 14.862000, 14.850855, 16.000000,  0.000000,  0.830126,  1.184980,
 63.000000,  1.241130,  8.936420,  0.079020, -0.684000,  2.243000,  2.702000, 14.806000, 14.845042, 16.000000,  0.000000,  0.830126,  1.241130,
 64.000000,  1.491660,  8.812800,  0.239020, -0.684000,  2.243000,  2.702000, 14.778000, 14.835211, 16.000000,  0.000000,  0.830126,  1.491660,
 65.000000,  1.647618,  8.740332,  0.459020, -0.521000,  2.243000,  2.702000, 14.834000, 14.830085, 16.000000,  0.000000,  0.830126,  1.647618,
 66.000000,  1.842952,  8.658356,  0.777094, -0.488000,  2.242000,  2.702000, 14.862000, 14.833490, 16.000000,  0.000000,  0.829756,  1.842952,
