14:10:36 time x y voltage current 
14:10:37 time x y voltage current 
14:10:38 time x y voltage current 
14:10:39 time x y voltage current 
14:10:40 time x y voltage current 
14:10:41 time x y voltage current 
14:10:42 time x y voltage current 
14:10:43 time x y voltage current 
14:10:44 time x y voltage current 
14:10:45 time x y voltage current 
14:10:46 time x y voltage current 
14:10:47 time x y voltage current 
14:10:48 time x y voltage current 
14:10:54 time x y voltage current 1
14:10:55 time x y voltage current 1
14:10:56 time x y voltage current 1
14:10:57 time x y voltage current 1
14:10:58 time x y voltage current 1
14:10:59 time x y voltage current 1
14:11:00 time x y voltage current 1
14:11:01 time x y voltage current 1
14:11:02 time x y voltage current 1
14:11:03 time x y voltage current 1
14:11:04 time x y voltage current 1
14:11:05 time x y voltage current 1
14:11:06 time x y voltage current 1
14:11:07 time x y voltage current 1
14:11:08 time x y voltage current 1
14:11:09 time x y voltage current 1
14:11:10 time x y voltage current 1
14:11:11 time x y voltage current 1
14:11:12 time x y voltage current 1
14:11:13 time x y voltage current 1
14:11:14 time x y voltage current 1
14:11:15 time x y voltage current 1
14:11:16 time x y voltage current 1
14:11:17 time x y voltage current 1
14:11:18 time x y voltage current 1
14:11:19 time x y voltage current 1
14:11:20 time x y voltage current 1
14:11:21 time x y voltage current 1
14:11:21 time x y voltage current 1
14:11:22 time x y voltage current 1
14:11:23 time x y voltage current 1
14:11:24 time x y voltage current 1
14:11:25 time x y voltage current 1
14:11:26 time x y voltage current 1
14:11:27 time x y voltage current 1
14:11:28 time x y voltage current 1
14:11:29 time x y voltage current 1
14:11:30 time x y voltage current 1
14:11:31 time x y voltage current 1
14:11:32 time x y voltage current 1
14:11:33 time x y voltage current 1
14:11:34 time x y voltage current 1
14:11:35 time x y voltage current 1
14:11:36 time x y voltage current 1
14:11:37 time x y voltage current 1
14:11:38 time x y voltage current 1
14:11:39 time x y voltage current 1
14:11:40 time x y voltage current 1
14:11:41 time x y voltage current 1
14:11:42 time x y voltage current 1
14:11:43 time x y voltage current 1
14:11:44 time x y voltage current 1
14:11:45 time x y voltage current 1
14:11:46 time x y voltage current 1
14:11:47 time x y voltage current 1
14:11:48 time x y voltage current 1
14:11:49 time x y voltage current 1
14:11:50 time x y voltage current 1
14:11:51 time x y voltage current 1
14:11:52 time x y voltage current 1
14:11:53 time x y voltage current 1
14:11:54 time x y voltage current 1
14:11:55 time x y voltage current 1
14:11:56 time x y voltage current 1
14:11:57 time x y voltage current 1
14:11:58 time x y voltage current 1
14:11:59 time x y voltage current 1
14:12:00 time x y voltage current 1
14:12:01 time x y voltage current 1
14:12:02 time x y voltage current 1
14:12:03 time x y voltage current 1
14:12:04 time x y voltage current 1
14:12:05 time x y voltage current 1
14:12:06 1 82.77 50.18 66.89 12.09 1
14:12:07 2 77.12 92.49 76.19 53.72 1
14:12:08 3 1.98 97.19 85.81 14.19 1
14:12:09 4 94.47 14.96 51.09 57.82 1
14:12:10 5 61.54 37.03 98.22 44.83 1
14:12:11 6 14.83 48.4 79.26 8 1
14:12:12 7 59.79 55.73 66.33 17.07 1
14:12:13 8 88.57 49.4 16.29 71.33 1
14:12:14 9 99.58 83.18 83.43 76.69 1
14:12:14 10 75.66 59.62 30.41 77.64 1
14:12:15 11 8.96 7.9 43.93 20.69 1
14:12:16 12 86.65 87.2 51.86 34.47 1
14:12:17 13 33.98 62.01 80.39 83.67 1
14:12:18 14 83.33 27.02 7.57 5.32 1
14:12:19 15 44.33 47.34 84.41 91.75 1
14:12:21 16 38.79 12.32 14.38 49.58 1
14:12:22 17 26.71 68.86 2.72 18.27 1
14:12:23 18 64.3 79.91 42.85 14.89 1
14:12:24 19 92.61 59.01 53.42 25.24 1
14:12:25 20 44.4 54.69 36.41 59.35 1
14:12:26 21 59.84 21.48 45.63 83.91 1
14:12:27 22 61.18 14.07 34.19 64.12 1
14:12:28 23 38.55 9.56 34.25 33.25 1
14:12:29 24 97.42 6.48 15.4 24.13 1
14:12:30 25 75.35 18.12 42.4 39.64 1
14:12:31 26 98.04 85.25 54.54 90.64 1
14:12:32 27 44.26 7.96 15.87 88.67 1
14:12:33 28 62.66 52.29 48.01 22.49 1
14:12:34 29 73.77 93.65 6.4 34.94 1
14:12:35 30 7.71 40.6 99.06 46.27 1
14:12:36 31 50.16 33.3 79.52 47.58 1
14:12:37 32 39.79 94.92 71.72 15.13 1
14:12:38 33 13.03 14.11 54.78 11.07 1
14:12:39 34 99.37 9.31 1.7 43.62 1
14:12:40 35 17.28 17.57 32.28 79.94 1
14:12:41 36 69.86 80.3 2.43 43.63 1
14:12:42 37 73.94 8.83 78.57 81.66 1
14:12:43 38 49.43 77.63 27.92 99.6 1
14:12:44 39 10.93 7.44 47.18 50.72 1
14:12:45 40 2.35 18.89 65.85 15.39 1
14:12:46 41 33.01 20.63 26.46 32.37 1
14:12:47 42 29.94 28.17 76 47.23 1
14:12:48 43 45.75 8.28 27.16 15.61 1
14:12:49 44 88.58 29.59 59.24 62.51 1
14:12:50 45 38.43 37.81 44.17 87.86 1
14:12:51 46 15.43 72.09 87.46 26.36 1
14:12:52 47 79.53 34.64 77.08 81.89 1
14:12:53 48 53.54 42.93 97.29 86.55 1
14:12:54 49 63.56 23.75 18.92 93.51 1
14:12:55 50 51.92 94.92 40.73 97.68 1
14:12:56 51 3.19 67.89 13.28 91.78 1
14:12:57 52 97.49 72.53 54.28 35.91 1
14:12:58 53 10.33 98.46 23.77 25.76 1
14:12:59 54 70.54 11.23 52.13 50.07 1
14:13:00 55 45.87 29.21 31.96 99.41 1
14:13:01 56 72.14 29.24 85.96 35.7 1
14:13:02 57 52.99 4.87 29.2 4.91 1
14:13:03 58 99.8 69.94 2.58 2.98 1
14:13:04 59 37.83 15.87 94.76 35.31 1
14:13:05 59 37.83 15.87 94.76 35.31 1
14:13:06 59 37.83 15.87 94.76 35.31 1
14:13:07 59 37.83 15.87 94.76 35.31 1
14:13:08 59 37.83 15.87 94.76 35.31 1
14:13:09 59 37.83 15.87 94.76 35.31 1
14:13:10 59 37.83 15.87 94.76 35.31 1
14:13:11 59 37.83 15.87 94.76 35.31 1
14:13:12 59 37.83 15.87 94.76 35.31 1
14:13:13 59 37.83 15.87 94.76 35.31 1
14:13:14 59 37.83 15.87 94.76 35.31 1
14:13:15 59 37.83 15.87 94.76 35.31 1
14:13:16 59 37.83 15.87 94.76 35.31 1
14:13:17 59 37.83 15.87 94.76 35.31 1
14:13:18 59 37.83 15.87 94.76 35.31 1
14:13:19 59 37.83 15.87 94.76 35.31 1
14:13:20 59 37.83 15.87 94.76 35.31 1
14:13:21 59 37.83 15.87 94.76 35.31 1
14:13:22 59 37.83 15.87 94.76 35.31 1
14:13:23 59 37.83 15.87 94.76 35.31 1
14:13:24 59 37.83 15.87 94.76 35.31 1
14:13:25 59 37.83 15.87 94.76 35.31 1
14:13:26 59 37.83 15.87 94.76 35.31 1
14:13:27 59 37.83 15.87 94.76 35.31 1
14:13:28 59 37.83 15.87 94.76 35.31 1
14:13:29 59 37.83 15.87 94.76 35.31 1
14:13:30 59 37.83 15.87 94.76 35.31 1
14:13:31 59 37.83 15.87 94.76 35.31 1
14:13:32 59 37.83 15.87 94.76 35.31 1
14:13:33 59 37.83 15.87 94.76 35.31 1
14:13:34 59 37.83 15.87 94.76 35.31 1
14:13:35 59 37.83 15.87 94.76 35.31 1
14:13:36 59 37.83 15.87 94.76 35.31 1
14:13:37 59 37.83 15.87 94.76 35.31 1
14:13:38 59 37.83 15.87 94.76 35.31 1
14:13:39 59 37.83 15.87 94.76 35.31 1
14:13:40 59 37.83 15.87 94.76 35.31 1
14:13:41 59 37.83 15.87 94.76 35.31 1
14:13:42 59 37.83 15.87 94.76 35.31 1
14:13:43 59 37.83 15.87 94.76 35.31 1
14:13:44 59 37.83 15.87 94.76 35.31 1
14:13:45 59 37.83 15.87 94.76 35.31 1
14:13:46 59 37.83 15.87 94.76 35.31 1
14:13:47 59 37.83 15.87 94.76 35.31 1
14:13:48 59 37.83 15.87 94.76 35.31 1
14:13:49 59 37.83 15.87 94.76 35.31 1
14:13:50 59 37.83 15.87 94.76 35.31 1
14:13:51 59 37.83 15.87 94.76 35.31 1
14:13:52 59 37.83 15.87 94.76 35.31 1
14:13:53 59 37.83 15.87 94.76 35.31 1
14:13:54 59 37.83 15.87 94.76 35.31 1
14:13:55 59 37.83 15.87 94.76 35.31 1
14:13:56 59 37.83 15.87 94.76 35.31 1
14:13:57 59 37.83 15.87 94.76 35.31 1
14:13:58 59 37.83 15.87 94.76 35.31 1
14:13:59 59 37.83 15.87 94.76 35.31 1
14:14:00 59 37.83 15.87 94.76 35.31 1
14:14:01 59 37.83 15.87 94.76 35.31 1
14:14:02 59 37.83 15.87 94.76 35.31 1
14:14:03 59 37.83 15.87 94.76 35.31 1
14:14:04 59 37.83 15.87 94.76 35.31 1
14:14:05 59 37.83 15.87 94.76 35.31 1
14:14:06 59 37.83 15.87 94.76 35.31 1
14:14:07 59 37.83 15.87 94.76 35.31 1
14:14:08 59 37.83 15.87 94.76 35.31 1
14:14:09 59 37.83 15.87 94.76 35.31 1
14:14:10 59 37.83 15.87 94.76 35.31 1
14:14:11 59 37.83 15.87 94.76 35.31 1
14:14:12 59 37.83 15.87 94.76 35.31 1
14:14:13 59 37.83 15.87 94.76 35.31 1
14:14:14 59 37.83 15.87 94.76 35.31 1
14:14:15 59 37.83 15.87 94.76 35.31 1
14:14:16 59 37.83 15.87 94.76 35.31 1
14:14:17 59 37.83 15.87 94.76 35.31 1
14:14:18 59 37.83 15.87 94.76 35.31 1
14:14:19 59 37.83 15.87 94.76 35.31 1
14:14:20 59 37.83 15.87 94.76 35.31 1
14:14:21 59 37.83 15.87 94.76 35.31 1
14:14:22 59 37.83 15.87 94.76 35.31 1
14:14:22 59 37.83 15.87 94.76 35.31 1
14:14:23 59 37.83 15.87 94.76 35.31 1
14:14:24 59 37.83 15.87 94.76 35.31 1
14:14:25 59 37.83 15.87 94.76 35.31 1
14:14:26 59 37.83 15.87 94.76 35.31 1
14:14:27 59 37.83 15.87 94.76 35.31 1
14:14:28 59 37.83 15.87 94.76 35.31 1
14:14:29 59 37.83 15.87 94.76 35.31 1
14:14:30 59 37.83 15.87 94.76 35.31 1
14:14:31 59 37.83 15.87 94.76 35.31 1
14:14:32 59 37.83 15.87 94.76 35.31 1
14:14:33 59 37.83 15.87 94.76 35.31 1
14:14:34 59 37.83 15.87 94.76 35.31 1
14:14:35 59 37.83 15.87 94.76 35.31 1
14:14:36 59 37.83 15.87 94.76 35.31 1
14:14:37 59 37.83 15.87 94.76 35.31 1
14:14:38 59 37.83 15.87 94.76 35.31 1
14:14:39 59 37.83 15.87 94.76 35.31 1
14:14:40 59 37.83 15.87 94.76 35.31 1
14:14:41 59 37.83 15.87 94.76 35.31 1
14:14:42 59 37.83 15.87 94.76 35.31 1
14:14:43 59 37.83 15.87 94.76 35.31 1
14:14:44 59 37.83 15.87 94.76 35.31 1
14:14:45 59 37.83 15.87 94.76 35.31 1
14:14:46 59 37.83 15.87 94.76 35.31 1
14:14:47 59 37.83 15.87 94.76 35.31 1
14:14:48 59 37.83 15.87 94.76 35.31 1
14:14:49 59 37.83 15.87 94.76 35.31 1
14:14:50 59 37.83 15.87 94.76 35.31 1
14:14:51 59 37.83 15.87 94.76 35.31 1
14:14:52 59 37.83 15.87 94.76 35.31 1
14:14:53 59 37.83 15.87 94.76 35.31 1
14:14:54 59 37.83 15.87 94.76 35.31 1
14:14:55 59 37.83 15.87 94.76 35.31 1
14:14:56 59 37.83 15.87 94.76 35.31 1
14:14:57 59 37.83 15.87 94.76 35.31 1
14:14:58 59 37.83 15.87 94.76 35.31 1
14:14:59 59 37.83 15.87 94.76 35.31 1
14:15:00 59 37.83 15.87 94.76 35.31 1
14:15:01 59 37.83 15.87 94.76 35.31 1
14:15:02 59 37.83 15.87 94.76 35.31 1
14:15:03 59 37.83 15.87 94.76 35.31 1
14:15:04 59 37.83 15.87 94.76 35.31 1
14:15:05 59 37.83 15.87 94.76 35.31 1
14:15:06 59 37.83 15.87 94.76 35.31 1
14:15:07 59 37.83 15.87 94.76 35.31 1
14:15:08 59 37.83 15.87 94.76 35.31 1
14:15:09 59 37.83 15.87 94.76 35.31 1
14:15:10 59 37.83 15.87 94.76 35.31 1
14:15:11 59 37.83 15.87 94.76 35.31 1
14:15:12 59 37.83 15.87 94.76 35.31 1
14:15:13 59 37.83 15.87 94.76 35.31 1
14:15:14 59 37.83 15.87 94.76 35.31 1
14:15:15 59 37.83 15.87 94.76 35.31 1
14:15:16 59 37.83 15.87 94.76 35.31 1
14:15:17 59 37.83 15.87 94.76 35.31 1
14:15:18 59 37.83 15.87 94.76 35.31 1
14:15:19 59 37.83 15.87 94.76 35.31 1
14:15:20 59 37.83 15.87 94.76 35.31 1
14:15:21 59 37.83 15.87 94.76 35.31 1
14:15:22 59 37.83 15.87 94.76 35.31 1
14:15:23 59 37.83 15.87 94.76 35.31 1
14:15:24 59 37.83 15.87 94.76 35.31 1
14:15:25 59 37.83 15.87 94.76 35.31 1
14:15:26 59 37.83 15.87 94.76 35.31 1
14:15:27 59 37.83 15.87 94.76 35.31 1
14:15:28 59 37.83 15.87 94.76 35.31 1
14:15:29 59 37.83 15.87 94.76 35.31 1
14:15:30 59 37.83 15.87 94.76 35.31 1
14:15:31 59 37.83 15.87 94.76 35.31 1
14:15:32 59 37.83 15.87 94.76 35.31 1
14:15:33 59 37.83 15.87 94.76 35.31 1
14:15:34 59 37.83 15.87 94.76 35.31 1
14:15:35 59 37.83 15.87 94.76 35.31 1
14:15:36 59 37.83 15.87 94.76 35.31 1
14:15:37 59 37.83 15.87 94.76 35.31 1
14:15:38 59 37.83 15.87 94.76 35.31 1
14:15:39 59 37.83 15.87 94.76 35.31 1
14:15:40 59 37.83 15.87 94.76 35.31 1
14:15:41 59 37.83 15.87 94.76 35.31 1
14:15:42 59 37.83 15.87 94.76 35.31 1
14:15:43 59 37.83 15.87 94.76 35.31 1
14:15:44 59 37.83 15.87 94.76 35.31 1
14:15:45 59 37.83 15.87 94.76 35.31 1
14:15:46 59 37.83 15.87 94.76 35.31 1
14:15:47 59 37.83 15.87 94.76 35.31 1
14:15:48 59 37.83 15.87 94.76 35.31 1
14:15:49 59 37.83 15.87 94.76 35.31 1
14:15:50 59 37.83 15.87 94.76 35.31 1
14:15:51 59 37.83 15.87 94.76 35.31 1
14:15:52 59 37.83 15.87 94.76 35.31 1
14:15:53 59 37.83 15.87 94.76 35.31 1
14:15:54 59 37.83 15.87 94.76 35.31 1
14:15:55 59 37.83 15.87 94.76 35.31 1
14:15:56 59 37.83 15.87 94.76 35.31 1
14:15:57 59 37.83 15.87 94.76 35.31 1
14:15:59 59 37.83 15.87 94.76 35.31 1
14:15:59 59 37.83 15.87 94.76 35.31 1
14:16:00 59 37.83 15.87 94.76 35.31 1
14:16:01 59 37.83 15.87 94.76 35.31 1
14:16:02 59 37.83 15.87 94.76 35.31 1
14:16:03 59 37.83 15.87 94.76 35.31 1
14:16:04 59 37.83 15.87 94.76 35.31 1
14:16:05 59 37.83 15.87 94.76 35.31 1
14:16:06 59 37.83 15.87 94.76 35.31 1
14:16:07 60 15.05 54.34 73.33 83.79 1
14:16:08 61 36.69 26.65 71.95 0.34 1
14:16:09 62 83.5 18.21 4.87 50.49 1
14:16:10 63 62.46 89.61 89.64 3.72 1
14:16:11 64 29.26 88.73 71.92 20.45 1
14:16:12 65 81.88 49.86 89.58 62.16 1
14:16:13 66 59.1 11.01 58.08 38.01 1
14:16:14 67 58.52 0.99 1.79 73.58 1
14:16:15 68 55.33 75.12 57.36 92.03 1
14:16:16 69 1.76 29.31 92.37 85.26 1
14:16:17 70 47.52 97.25 35.75 9.97 1
14:16:18 71 86.86 25.38 13.7 16.11 1
14:16:19 72 14.1 85.62 36.57 95.99 1
14:16:20 73 35.48 26.14 58.14 94.59 1
14:16:21 74 37.15 16.22 32.59 95.67 1
14:16:22 75 17.21 34.38 69.24 72.55 1
14:16:23 76 9.49 26.59 64.58 11.26 1
14:16:24 77 55.91 56.94 96.53 3.42 1
14:16:25 78 54.19 32.27 13.4 41.04 1
14:16:26 79 57.66 27.1 57.16 71.77 1
14:16:27 80 12.71 93.73 67.75 48.2 1
14:16:28 81 19.86 25.89 42.78 57.02 1
14:16:29 82 42.11 75.37 52.68 59.33 1
14:16:30 83 9.75 21.92 31.87 19.25 1
14:16:31 84 48.52 96.45 30.51 4.42 1
14:16:32 85 53.39 27.03 7.84 7.58 1
14:16:33 86 59.31 21.24 48.62 16.96 1
14:16:34 87 48.35 5.77 88.73 61.07 1
14:16:35 88 99.51 56.48 9.26 19.37 1
14:16:36 89 82.38 52.04 76.39 24.48 1
14:16:37 90 27.41 29.07 83.81 37.16 1
14:16:38 91 50.99 15.68 56.42 99.52 1
14:16:39 92 12.12 86.93 3.93 65.52 1
14:16:40 93 13.96 11.78 73.1 73.27 1
14:16:41 94 33.03 21.72 90.23 81.38 1
14:16:43 95 27.5 78.96 42.44 27 1
14:16:44 96 35.44 51.71 46.37 17.81 1
14:16:45 97 3.74 22.76 42.29 31.16 1
14:16:46 98 51.83 26.1 68.33 2.82 1
14:16:47 99 41.78 24.74 2.33 53.91 1
14:16:48 100 11.67 6.26 19.42 25.63 1
14:16:49 101 18.05 92.53 98.9 51.08 1
14:16:50 102 14.24 89.13 32.45 41.74 1
14:16:51 103 88.4 49.04 71.23 98.74 1
14:16:52 104 68.08 74.9 68.74 3.52 1
14:16:53 105 47.49 95 24.49 18.03 1
